Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated,Hash
Instadapp,Immunefi,250000,0,0,"Solidity","L2","Defi","Avalanche,Fantom,Polygon,Optimism","Smart Contract,Websites and Applications",2023-03-17,645fe360abc16fbe35fe5290223668e14b5c0fc2aaf4ef211adfda982bdd35ba
Tokemak,Immunefi,250000,0,0,"Solidity","Staking,Crosschain Liquidity","Defi","ETH","Smart Contract,Websites and Applications",2022-12-07,95016f0772fa9aa851bf79515441332f4a671c4a4b4211a5c69ea58e47d3dc3b
Pendle,Immunefi,250000,0,1914,"Solidity","AMM","Defi","ETH","Smart Contract",2023-04-05,5069bc71523e7225f1dc05e415ac509ce81cd042e694a7394bf6434a936b2f7d
DeFi Saver,Immunefi,250000,0,0,"Solidity","Asset Management","Defi","ETH","Smart Contract,Websites and Applications",2022-10-13,221ac405059cca97feab1e4ef0438b395d45ba518caaba15ef404cee0df7baf9
Yield Protocol,Immunefi,250000,147600,2370,"Solidity,Rust","Lending","Defi","ETH","Smart Contract",2023-08-04,23dd04caafafb085aea933f59fbde5dfbc3ba363039be61a3438d1267ca4bb5f
Perpetual,Immunefi,250000,0,0,"Solidity","Perpetuals","Defi","Optimism,xDAI","Smart Contract",2022-10-24,a36877a8a6a9b6fd811a3053b84d5d37558d2904f10146daed9294b6159729a7
Radiant,Immunefi,200000,0,6439,"Solidity","Staking,Crosschain Liquidity,Lending","Defi","Arbitrum","Smart Contract,Websites and Applications",2023-06-15,01a71f5d2819ca1c57224d348b25fde81a0210b7071ad9d1991bc400b9e53e79
ParaSpace,Immunefi,200000,0,0,"Solidity","Lending","NFT","ETH","Smart Contract",2023-03-22,1b6762b20024dfda6e8b38541ce4f3e27ba5a4541d25bd267e152241ad2296dc
Gearbox,Immunefi,200000,343000,419,"Solidity","Perpetuals,Options","Defi","ETH","Smart Contract",2023-01-09,ee75efc9fe3b8a9eb69f0b5460f99ba6c9cd6a2d68a009158de1bbc9279f7493
pNetwork,Immunefi,200000,0,0,"Solidity","L2","Defi,NFT","ETH,Polygon,xDAI","Smart Contract,Websites and Applications",2023-05-26,03d2f97285e4d331c9cb9f1c75a729b2a88a735e05282b61e566f8492e377db2
